scene_id,scene_source_split,scene_partition,scene_has_progress,scene_complete,scene_energy_label,scene_type,instance_id,target_category,source_object_name,state,bad_polygon,usable_for_state_model,rgb_crop_relpath,depth_crop_relpath,crop_left,crop_top,crop_right,crop_bottom,crop_width,crop_height,bbox_x1,bbox_y1,bbox_x2,bbox_y2,overlay_dx,overlay_dy,reviewer,notes
kv1__NYUdata__NYU0228,train,train_candidate,1,1,none,furniture_store,door_1,door,door,closed,0,1,crops/rgb/kv1__NYUdata__NYU0228__door_1.png,crops/depth/kv1__NYUdata__NYU0228__door_1.png,315,109,387,355,72,246,325,122,380,351,-1.1,-4.9,,
kv1__NYUdata__NYU0228,train,train_candidate,1,1,none,furniture_store,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv1__NYUdata__NYU0228__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU0228__monitor_or_tv_1.png,58,182,98,224,40,42,107,188,130,213,-40.2,2.4,,
kv1__NYUdata__NYU0228,train,train_candidate,1,1,none,furniture_store,lamp_1,lamp,lamp,on,0,1,crops/rgb/kv1__NYUdata__NYU0228__lamp_1.png,crops/depth/kv1__NYUdata__NYU0228__lamp_1.png,78,24,109,152,31,128,88,33,102,144,-1.1,-0.9,,
kv1__NYUdata__NYU0579,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,door_1,door,door,closed,0,1,crops/rgb/kv1__NYUdata__NYU0579__door_1.png,crops/depth/kv1__NYUdata__NYU0579__door_1.png,323,19,428,271,105,252,333,31,421,267,-1.5,-4,,
kv1__NYUdata__NYU0579,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,lamp_1,lamp,lamp,on,0,1,crops/rgb/kv1__NYUdata__NYU0579__lamp_1.png,crops/depth/kv1__NYUdata__NYU0579__lamp_1.png,0,113,44,201,44,88,1,121,40,192,-4.4,0.2,,
kv1__NYUdata__NYU0579,train,train_candidate,1,1,possible_unnecessary_lighting,living_room,monitor_or_tv_1,monitor_or_tv,tv,off,0,1,crops/rgb/kv1__NYUdata__NYU0579__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU0579__monitor_or_tv_1.png,47,121,221,234,174,113,60,128,217,224,-4.5,1.1,,
kv1__NYUdata__NYU0614,train,train_candidate,1,1,none,office,monitor_or_tv_1,monitor_or_tv,monitor,off,0,1,crops/rgb/kv1__NYUdata__NYU0614__monitor_or_tv_1.png,crops/depth/kv1__NYUdata__NYU0614__monitor_or_tv_1.png,37,128,117,248,80,120,45,138,109,241,0,-1.8,,
kv1__NYUdata__NYU0614,train,train_candidate,1,1,none,office,lamp_1,lamp,lamp,off,0,1,crops/rgb/kv1__NYUdata__NYU0614__lamp_1.png,crops/depth/kv1__NYUdata__NYU0614__lamp_1.png,437,174,534,344,97,170,445,180,525,333,0.7,2.3,,
kv1__NYUdata__NYU0625,train,train_candidate,1,0,none,office,door_1,door,door,unknown,1,0,crops/rgb/kv1__NYUdata__NYU0625__door_1.png,crops/depth/kv1__NYUdata__NYU0625__door_1.png,271,214,300,251,29,37,279,222,292,243,0,0,,
kv1__NYUdata__NYU0625,train,train_candidate,1,0,none,office,door_2,door,door,unknown,1,0,crops/rgb/kv1__NYUdata__NYU0625__door_2.png,crops/depth/kv1__NYUdata__NYU0625__door_2.png,186,42,216,105,30,63,194,50,208,97,0,0,,
